race_bango,umaban,bamei,bataiju,zogen_sa,kohan_3f,tansho_odds,kakutei_chakujun,time_sa
01,01,キタノギャラクシー,480,002,400,0209,07,+017
01,02,アースウルフ,422,004,381,1718,08,+018
01,03,セレンディピア,458,006,389,0148,05,+011
01,04,サンキングマン,426,000,396,3655,13,+031
01,05,バルセロナ,466,012,390,1025,14,+032
01,06,ホトダニー,454,004,376,0231,03,+010
01,07,キリシマダイオウ,466,000,396,4048,11,+024
01,08,タイニーベイビー,442,004,375,0017,01,-008
01,09,バーグマン,448,006,378,0110,02,+008
01,10,トマティーナ,426,000,401,1807,09,+020
01,11,クイーンキャンディ,446,002,408,3880,15,+034
01,12,ニシノホライゾン,514,010,387,0035,04,+010
01,13,ソレユケタケコ,458,014,388,3057,12,+031
01,14,ロードファビュラス,476,010,391,0086,06,+011
01,15,フジノホーオー,458,002,395,5053,10,+022
02,01,シゲルサソリザ,446,002,414,0814,11,+042
02,02,パワポケーションズ,422,006,430,1597,14,+055
02,03,アポロファントム,454,002,410,0200,05,+030
02,04,コーリング,480,006,427,3578,12,+049
02,05,ニシノジェイピー,432,000,406,2825,06,+031
02,06,アグードイメル,486,008,395,0101,03,+013
02,07,ユウホ,466,002,440,1571,15,+062
02,08,ショウナンラクトン,456,000,420,1433,10,+039
02,09,ヴィーヴァメジロ,476,002,430,0811,13,+052
02,10,ネージュフォレスト,494,002,420,0490,08,+035
02,11,ミヤビキング,528,018,404,0389,04,+021
02,12,ココリミッション,440,006,459,0156,16,+082
02,13,ケンシンコウ,474,002,386,0062,01,-000
02,14,ブリジャール,496,002,384,0013,02,+000
02,15,フジコウキ,466,000,419,0802,09,+036
02,16,アウティスタ,456,000,409,0540,07,+033
03,01,ヨモギ,416,006,359,0446,11,+011
03,02,マイネルチューダ,444,000,365,0133,03,+001
03,03,ダイワリチャード,450,002,366,0096,08,+006
03,04,ブラックヴァローナ,422,002,379,3491,16,+023
03,05,オルテール,482,006,365,0032,07,+005
03,06,プリマジア,454,002,359,0042,02,+000
03,07,ヴァルトグリーン,420,008,365,0854,09,+008
03,08,シベール,454,014,363,0058,01,-000
03,09,シャチ,458,002,357,0291,04,+003
03,10,ラザフォード,446,008,359,0063,05,+005
03,11,シンキングムーン,438,006,379,0439,15,+023
03,12,マイネルカガヤキ,474,002,370,3535,14,+020
03,13,パイオニアエース,426,006,364,3238,12,+012
03,14,サクラマス,426,006,368,3355,13,+013
03,15,カフェサンドリヨン,472,004,362,0120,06,+005
03,16,ソフィスティケイト,444,002,361,1140,10,+010
04,01,ゴーゴーヘレンド,486,   ,386,0217,03,+007
04,02,アキラクン,450,   ,388,0061,04,+009
04,03,シゲルペガススザ,500,   ,382,1406,08,+018
04,04,スマイルオリオン,492,   ,401,0489,09,+019
04,05,トミケンヴァイゼ,476,   ,400,1180,13,+024
04,06,トキノヒト,406,   ,392,0473,10,+022
04,07,トモジャブルーノ,484,   ,389,0058,14,+024
04,08,ワイワイガール,408,   ,406,1090,16,+038
04,09,アルマセグレート,452,   ,381,0024,01,-005
04,10,シゲルケレス,480,   ,402,1219,11,+023
04,11,ローズブランシェ,444,   ,386,1648,05,+012
04,12,ショーショーショー,526,   ,379,0041,02,+005
04,13,エクスムーア,448,   ,385,1250,06,+013
04,14,ビクトリーマジック,440,   ,385,0297,12,+024
04,15,ララスカート,420,   ,391,1245,15,+028
04,16,タマモビックホーム,448,   ,393,0113,07,+016
05,01,シンカンワールド,424,   ,368,2664,10,+020
05,02,ギベルティ,524,   ,352,0067,01,-003
05,03,キョウエイブリッツ,408,   ,373,1769,14,+030
05,04,アイノア,486,   ,356,0280,07,+013
05,05,ポンポンルージュ,470,   ,362,0865,11,+024
05,06,アッタヴァンティ,424,   ,361,0050,09,+020
05,07,スナイプトウショウ,514,   ,386,3070,16,+034
05,08,ブライドグルーム,452,   ,352,0017,02,+003
05,09,チャロアイト,474,   ,356,0106,04,+006
05,10,グランチーノ,458,   ,354,0385,05,+008
05,11,ラストエクセル,444,   ,350,0109,03,+005
05,12,ムーンピラー,470,   ,369,0828,13,+027
05,13,ケイティミラクル,484,   ,361,1552,12,+025
05,14,セシール,424,   ,361,1573,08,+014
05,15,フレッシュスタート,410,   ,356,0447,06,+012
05,16,サンプレスコット,430,   ,370,3828,15,+031
06,01,グッドブリッジ,476,008,392,0966,14,+017
06,02,プリンサン,424,002,382,1229,08,+009
06,03,レムリアンシード,446,012,390,1638,11,+015
06,04,スズカパンサー,458,008,370,0290,05,+007
06,05,アポロセイラン,452,004,381,0540,09,+009
06,06,デビルスダンサー,432,000,383,0197,10,+010
06,07,エンプティチェア,466,004,382,0110,03,+003
06,08,オーロラテソーロ,486,002,381,0021,02,+000
06,09,ヴァンドゥメール,482,002,387,0043,04,+006
06,10,ストレガ,470,002,373,2921,13,+017
06,11,ウィーンソナタ,488,004,398,0270,15,+018
06,12,プロヴィデンス,480,014,385,0064,07,+008
06,13,ヤマメ,460,008,389,0503,12,+015
06,14,プレジールドビブル,458,008,384,0609,06,+008
06,15,コパノビアンカ,430,004,394,1535,16,+020
06,16,マイネルワルツ,448,000,383,0113,01,-000
07,01,アイヅリュウコ,482,012,386,0671,13,+019
07,02,ララロワ,510,006,381,0317,01,-000
07,03,ロークアルルージュ,540,006,391,0035,07,+008
07,04,コスモハヤテ,478,002,390,0213,09,+010
07,05,グロリアスホープ,502,012,394,0073,08,+008
07,06,サルウェーテ,470,002,408,2853,15,+023
07,07,カイザースクルーン,484,002,378,0322,02,+000
07,08,コスモロビンソン,518,016,456,0439,16,+083
07,09,サンマルバロン,496,021,382,0700,10,+010
07,10,セイカヤマノ,500,008,380,0212,06,+004
07,11,ユキノヴェルデ,516,010,397,0173,11,+013
07,12,フクサンダーク,494,004,400,0103,14,+020
07,13,ワンダーマンボ,468,002,387,0131,05,+003
07,14,アドアステラ,452,004,400,0195,12,+016
07,15,ヨクエロマンボ,466,008,375,0065,03,+001
07,16,フライオールデイズ,500,002,390,0053,04,+003
08,01,ヴァイスブリッツ,464,002,387,0081,11,+028
08,02,ジャディード,446,008,361,1043,09,+012
08,03,ドリームスピリット,518,004,361,0151,06,+011
08,04,シュブリーム,464,000,360,0072,05,+008
08,05,エイプリルミスト,448,000,369,0101,08,+012
08,06,ブラックモリオン,484,004,384,0660,12,+028
08,07,コスモジャーベ,490,012,357,0572,04,+005
08,08,トレジャートローヴ,448,004,374,0381,10,+020
08,09,ノーチカルチャート,474,004,361,0259,03,+003
08,10,カーロバンビーナ,412,004,363,0184,07,+011
08,11,サトノラディウス,484,002,356,0031,02,+000
08,12,ボスジラ,518,006,354,0028,01,-000
09,01,ターフェルムジーク,434,008,349,1352,12,+009
09,02,フォークテイル,442,004,351,0083,14,+009
09,03,ギフトオブアート,484,004,348,0268,08,+006
09,04,ロフティフレーズ,470,002,348,0074,01,-000
09,05,フラッシングジェム,472,006,354,1496,13,+009
09,06,エアジーン,452,004,345,0047,06,+004
09,07,ダイワエトワール,520,014,347,1243,16,+013
09,08,グレイテスト,466,000,347,0083,02,+000
09,09,ミラクルブラッド,458,014,346,0568,11,+009
09,10,クリッパー,490,006,350,0045,07,+005
09,11,トーセンリスト,446,006,354,0350,04,+003
09,12,プリュス,428,004,346,0386,15,+010
09,13,シングフォーユー,464,004,345,0062,09,+007
09,14,ビックピクチャー,420,004,352,0159,10,+007
09,15,ジョブックコメン,424,006,345,0143,03,+002
09,16,ダノンポピー,484,030,353,0437,05,+004
10,01,ジャスティン,478,000,369,0167,02,+001
10,02,リモンディ,552,002,372,0433,14,+016
10,03,メイショウミライ,492,004,365,0030,03,+004
10,04,アスタースウィング,518,000,363,0253,06,+010
10,05,ブラックランナー,478,004,371,1644,09,+013
10,06,リュウノユキナ,520,010,371,0075,05,+007
10,07,タマモコーラス,464,004,374,0532,10,+013
10,08,アカネサス,492,012,387,0053,15,+020
10,09,ルッジェーロ,518,004,366,0177,04,+005
10,10,ヴィルトファン,504,004,370,0079,12,+015
10,11,ロードエース,502,002,368,0814,08,+012
10,12,ジャスパープリンス,482,008,366,0141,01,-001
10,13,スピリットワンベル,532,006,370,0489,11,+013
10,14,スズカグラーテ,474,012,387,0203,16,+024
10,15,オーヴァーライト,474,000,370,0520,13,+016
10,16,シスル,508,004,374,0101,07,+011
11,01,スカーレットカラー,474,012,398,1046,15,+048
11,02,スワーヴリチャード,526,010,383,0175,12,+031
11,03,エタリオウ,462,000,372,0850,10,+019
11,04,スティッフェリオ,456,008,399,1334,13,+035
11,05,フィエールマン,482,999,360,0184,04,+011
11,06,リスグラシュー,468,999,347,0067,01,-008
11,07,ワールドプレミア,492,008,350,0134,03,+009
11,08,レイデオロ,494,008,360,0358,07,+016
11,09,アーモンドアイ,486,006,369,0015,09,+018
11,10,サートゥルナーリア,504,002,354,0078,02,+008
11,11,キセキ,506,999,358,0271,05,+011
11,12,クロコスミア,444,004,406,2071,16,+048
11,13,アルアイン,526,000,380,1606,11,+023
11,14,ヴェロックス,494,004,367,0337,08,+018
11,15,アエロリット,514,002,421,1071,14,+045
11,16,シュヴァルグラン,470,006,358,1354,06,+014
12,01,アイルチャーム,448,000,358,0064,06,+003
12,02,ルマーカーブル,520,008,362,0850,15,+010
12,03,アゴベイ,444,010,357,0043,10,+005
12,04,シセイタイガ,468,004,352,0054,05,+003
12,05,サンノゼテソーロ,452,000,354,0033,01,-002
12,06,イキオイ,458,006,354,0558,12,+007
12,07,アーヒラ,448,010,360,1222,14,+009
12,08,イサチルルンルン,462,002,351,0367,13,+007
12,09,スタークニナガ,442,008,351,1441,11,+005
12,10,オジョーノキセキ,512,000,353,0159,07,+004
12,11,シンデレラメイク,500,002,348,0161,04,+003
12,12,ペイシャドリーム,458,006,355,0096,02,+002
12,13,ショウナンマッシブ,476,004,343,0419,03,+003
12,14,ライバーバード,508,002,353,0267,09,+005
12,15,ツヅク,452,004,346,0921,08,+004
12,16,サウンドジャンゴ,532,002,362,2657,16,+012
