race_bango,umaban,bamei,bataiju,zogen_sa,kohan_3f,tansho_odds,kakutei_chakujun,time_sa
11,01,スカーレットカラー,474,012,398,1046,15,+048
11,02,スワーヴリチャード,526,010,383,0175,12,+031
11,03,エタリオウ,462,000,372,0850,10,+019
11,04,スティッフェリオ,456,008,399,1334,13,+035
11,05,フィエールマン,482,999,360,0184,04,+011
11,06,リスグラシュー,468,999,347,0067,01,-008
11,07,ワールドプレミア,492,008,350,0134,03,+009
11,08,レイデオロ,494,008,360,0358,07,+016
11,09,アーモンドアイ,486,006,369,0015,09,+018
11,10,サートゥルナーリア,504,002,354,0078,02,+008
11,11,キセキ,506,999,358,0271,05,+011
11,12,クロコスミア,444,004,406,2071,16,+048
11,13,アルアイン,526,000,380,1606,11,+023
11,14,ヴェロックス,494,004,367,0337,08,+018
11,15,アエロリット,514,002,421,1071,14,+045
11,16,シュヴァルグラン,470,006,358,1354,06,+014
