_race_id,race_bango,kyosomei_hondai,jusho_kaiji,_race_grade,kyori,_track_name,toroku_tosu
2019-12-22_06_01,01,,000,未勝利,1200,ダート・右,15
2019-12-22_06_02,02,,000,未勝利,1800,ダート・右,16
2019-12-22_06_03,03,,000,未勝利,1600,芝・右外,16
2019-12-22_06_04,04,,000,新馬,1200,ダート・右,16
2019-12-22_06_05,05,,000,新馬,1600,芝・右外,16
2019-12-22_06_06,06,,000,500万円以下 １勝クラス,1200,ダート・右,16
2019-12-22_06_07,07,,000,500万円以下 １勝クラス,1800,ダート・右,16
2019-12-22_06_08,08,グッドラックハンデキャップ,000,1000万円以下 ２勝クラス,2500,芝・右,12
2019-12-22_06_09,09,ノエル賞,000,1000万円以下 ２勝クラス,1800,芝・右,16
2019-12-22_06_10,10,２０１９フェアウェルステークス,000,1500万円以下 ３勝クラス,1200,ダート・右,16
2019-12-22_06_11,11,有馬記念,064,G1,2500,芝・右,16
2019-12-22_06_12,12,クリスマスカップ,000,1000万円以下 ２勝クラス,1200,芝・右外,16
